Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1245020,-,-,-,40.77,-73.98,-5,19,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,7,0,0,0,-3,0.070100002,1.6,85.42,-1,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,7,30,0,0,-3,0.070100002,1.7,79.45,0,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,8,0,32,348,-2,0.070100002,1.8,80.95,0,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,8,30,49,516,-2,0.070100002,1.9,80.99,0,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,9,0,62,621,-2,0.070100002,2.1,76.29,1,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,9,30,70,693,-2,0.070100002,2.4,76.3,1,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,10,0,74,753,-3,0.070100002,2.7,67.4,2,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,10,30,139,395,-3,0.070100002,2.7,67.38,2,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,11,0,181,100,-3,0.070100002,2.7,62.73,3,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,11,30,156,424,-3,0.070100002,2.6,62.72,3,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,12,0,88,811,-3,0.070100002,2.6,63.56,3,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,12,30,159,409,-3,0.070100002,2.5,63.56,3,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,13,0,130,513,-3,0.070100002,2.5,64.18,3,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,13,30,77,707,-3,0.070100002,2.3,64.2,3,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,14,0,87,694,-2,0.070100002,2.2,65.38,3,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,14,30,80,641,-2,0.070100002,1.9,70.21,2,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,15,0,53,596,-2,0.070100002,1.6,73.18,2,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,15,30,55,467,-2,0.070100002,1.5,78.64,1,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,16,0,35,314,-2,0.070100002,1.4,78.2,1,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,16,30,0,0,-2,0.070100002,1.4,84.1,0,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,17,0,0,0,-2,0.070100002,1.4,83.87,0,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,17,30,0,0,-2,0.070100002,1.3,83.91,0,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,18,0,0,0,-2,0.070100002,1.3,84.34,0,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,18,30,0,0,-2,0.070100002,1.2,84.37,0,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,19,0,0,0,-2,0.070100002,1.2,83.75,0,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,19,30,0,0,-2,0.070100002,1.1,83.78,0,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,20,0,0,0,-2,0.070100002,1.1,83.36,0,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,20,30,0,0,-2,0.070100002,1.1,83.39,0,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,21,0,0,0,-2,0.070100002,1.1,82.48,0,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,21,30,0,0,-2,0.070100002,1.1,82.51,0,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,22,0,0,0,-2,0.070100002,1.1,87.79,-1,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,22,30,0,0,-2,0.070100002,1.1,87.8,-1,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,23,0,0,0,-2,0.070100002,1.2,86.53,-1,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,2,23,30,0,0,-2,0.070100002,1.2,86.55,-1,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,0,0,0,0,-3,0.070100002,1.3,84.94,-1,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,0,30,0,0,-3,0.070100002,1.3,84.97,-1,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,1,0,0,0,-3,0.070100002,1.3,83.17,-1,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,1,30,0,0,-3,0.070100002,1.2,83.18,-1,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,2,0,0,0,-3,0.070100002,1.2,86.19,-2,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,2,30,0,0,-3,0.070100002,1.2,86.2,-2,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,3,0,0,0,-4,0.070100002,1.3,84.3,-2,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,3,30,0,0,-4,0.070100002,1.2,84.32,-2,1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,4,0,0,0,-4,0.070100002,1.2,89.74,-3,1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,4,30,0,0,-4,0.070100002,1.1,89.77,-3,1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,5,0,0,0,-4,0.070100002,1.1,89.7,-3,1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,5,30,0,0,-4,0.070100002,1.1,89.72,-3,1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,6,0,0,0,-4,0.070100002,1.2,91.55,-3,1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,6,30,0,0,-4,0.070100002,1.2,85.02,-2,1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,7,0,0,0,-3,0.070100002,1.3,87.84,-2,1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,7,30,0,0,-3,0.070100002,1.3,81.63,-1,1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,8,0,34,295,-2,0.070100002,1.3,80.55,0,1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,8,30,52,0,-2,0.070100002,1.5,80.56,0,1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,9,0,78,0,-2,0.070100002,1.7,85.07,0,1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,9,30,68,0,-2,0.070100002,1.9,79.13,1,1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,10,0,127,7,-1,0.070100002,2.1,76.99,2,1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,10,30,39,0,-1,0.070100002,2.2,76.95,2,1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,11,0,107,0,0,0.070100002,2.3,76.57,3,1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,11,30,75,0,0,0.070100002,2.3,76.52,3,1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,12,0,44,0,0,0.070100002,2.3,77.47,4,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,12,30,16,0,0,0.070100002,2.2,83.08,3,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,13,0,164,27,1,0.070100002,2.2,89.72,3,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,13,30,24,0,1,0.070100002,2.2,96.27,2,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,14,0,89,0,2,0.070100002,2.2,100,2,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,14,30,85,0,2,0.070100002,2.1,100,2,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,15,0,20,0,2,0.070100002,2,100,2,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,15,30,13,0,2,0.070100002,2,100,2,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,16,0,6,0,2,0.070100002,2,100,2,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,16,30,0,0,2,0.070100002,2.1,100,2,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,17,0,0,0,2,0.070100002,2.2,100,2,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,17,30,0,0,2,0.070100002,2.2,100,2,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,18,0,0,0,2,0.070100002,2.2,100,2,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,18,30,0,0,2,0.070100002,2.1,100,2,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,19,0,0,0,2,0.070100002,2,100,3,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,19,30,0,0,2,0.070100002,1.8,100,3,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,20,0,0,0,2,0.070100002,1.7,100,3,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,20,30,0,0,2,0.070100002,1.5,100,3,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,21,0,0,0,4,0.070100002,1.4,100,4,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,21,30,0,0,4,0.070100002,1.2,100,4,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,22,0,0,0,4,0.070100002,1.2,100,4,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,22,30,0,0,4,0.070100002,1.1,100,4,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,23,0,0,0,4,0.070100002,1,100,4,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,3,23,30,0,0,4,0.070100002,0.9,100,4,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,4,0,0,0,0,4,0.070100002,0.9,100,4,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,4,0,30,0,0,4,0.070100002,0.9,100,4,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,4,1,0,0,0,4,0.070100002,1,100,4,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,4,1,30,0,0,4,0.070100002,1,100,4,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,4,2,0,0,0,4,0.070100002,1,100,4,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,4,2,30,0,0,2,0.070100002,1,100,3,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,4,3,0,0,0,2,0.070100002,1,100,3,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,1,4,3,30,0,0,2,0.070100002,1,100,3,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
